Date;3M;6M;1Y;2Y;3Y;4Y;5Y;6Y;7Y;8Y;9Y;10Y;15Y;20Y;30Y
28.03.2001;4,52684;4,391;4,1799;4,05134;4,12619;4,17166;4,23232;4,30898;4,45542;4,53549;4,58213;4,62976;4,94288;5,18587;5,43444
29.03.2001;4,5152;4,37838;4,17043;4,05036;4,13427;4,19466;4,25527;4,33345;4,48922;4,57174;4,62025;4,66637;4,97805;5,22107;5,46966
30.03.2001;4,52199;4,38906;4,17169;4,0481;4,12947;4,19278;4,25226;4,33245;4,48394;4,56852;4,62404;4,67055;4,98215;5,22925;5,48211
02.04.2001;4,53169;4,39586;4,18574;4,05605;4,12972;4,19248;4,2538;4,34501;4,49509;4,58241;4,6383;4,68696;5,00762;5,25731;5,51242
03.04.2001;4,54623;4,41818;4,17615;4,04968;4,1218;4,19099;4,25234;4,33836;4,48418;4,57426;4,63305;4,6798;4,99759;5,24544;5,4986
04.04.2001;4,53266;4,3842;4,1814;4,06774;4,14334;4,2193;4,28559;4,37433;4,52177;4,61593;4,67413;4,72216;5,05321;5,3008;5,55325
05.04.2001;4,53363;4,40556;4,18773;4,08691;4,16202;4,23646;4,29916;4,38485;4,52511;4,61831;4,67673;4,72302;5,04685;5,2863;5,53028
06.04.2001;4,5346;4,41527;4,14974;4,03735;4,11313;4,19236;4,25418;4,33848;4,47948;4,57573;4,63506;4,68299;5,01056;5,25225;5,49841
09.04.2001;4,52005;4,37741;4,13577;4,01871;4,09847;4,18175;4,24707;4,33677;4,48483;4,58678;4,64716;4,69519;5,02452;5,26745;5,51469
10.04.2001;4,5152;4,36964;4,17716;4,073;4,15105;4,24172;4,31184;4,38524;4,53906;4,63871;4,69539;4,73985;5,0656;5,29414;5,52625
11.04.2001;4,54332;4,40071;4,32366;4,21489;4,28568;4,36158;4,41955;4,48075;4,61993;4,70777;4,75838;4,8033;5,11813;5,33621;5,55754
12.04.2001;4,69735;4,5724;4,41092;4,29338;4,33776;4,40027;4,45027;4,50931;4,63292;4,71195;4,75899;4,79846;5,11049;5,31739;5,52697
13.04.2001;4,69735;4,5724;4,41965;4,30627;4,35481;4,41976;4,46986;4,53073;4,64563;4,72186;4,76949;4,80858;5,12216;5,32236;5,52481
16.04.2001;4,69735;4,5724;4,41334;4,30393;4,35265;4,41949;4,47073;4,53239;4,64501;4,71976;4,76815;4,80933;5,12391;5,3263;5,53093
17.04.2001;4,71961;4,60147;4,43295;4,31654;4,36705;4,43641;4,48278;4,54189;4,67044;4,74898;4,79829;4,83934;5,15783;5,36698;5,57858
18.04.2001;4,73316;4,63731;4,38057;4,28169;4,34892;4,39926;4,45406;4,53026;4,67645;4,76486;4,82183;4,86779;5,18825;5,40286;5,6201
19.04.2001;4,63441;4,51714;4,42901;4,34269;4,39696;4,48096;4,53968;4,62071;4,75478;4,84142;4,89325;4,93218;5,2664;5,47359;5,68268
20.04.2001;4,71961;4,61116;4,43582;4,34226;4,39032;4,47242;4,52187;4,60645;4,73315;4,81446;4,86552;4,90673;5,23396;5,43353;5,63477
23.04.2001;4,70896;4,60535;4,42398;4,32107;4,36297;4,43545;4,48351;4,57951;4,70319;4,7838;4,83476;4,87769;5,20421;5,40781;5,6132
24.04.2001;4,72735;4,66249;4,49623;4,41443;4,44349;4,49745;4,54143;4,63392;4,74958;4,82438;4,87365;4,91325;5,22456;5,41502;5,60699
25.04.2001;4,73412;4,66346;4,47577;4,38206;4,4195;4,48126;4,53278;4,62147;4,74016;4,81792;4,86693;4,90619;5,21475;5,40631;5,59947
26.04.2001;4,73316;4,65378;4,42214;4,30136;4,34145;4,4089;4,46303;4,55562;4,68989;4,77001;4,82256;4,86558;5,17252;5,36284;5,55471
27.04.2001;4,72445;4,6286;4,48336;4,38443;4,42628;4,49237;4,54715;4,63392;4,76427;4,83983;4,88657;4,92649;5,23628;5,41975;5,60439
30.04.2001;4,75541;4,69638;4,59742;4,51163;4,54317;4,60302;4,64458;4,71493;4,83355;4,89757;4,93784;4,97683;5,29615;5,46795;5,64024
01.05.2001;4,75541;4,69638;4,5939;4,51912;4,55271;4,61324;4,66825;4,74719;4,8273;4,89917;4,90868;4,96431;5,28803;5,4576;5,62748
02.05.2001;4,76992;4,71864;4,56768;4,47884;4,51862;4,58335;4,64491;4,72612;4,81039;4,89585;4,90993;4,96534;5,27747;5,45665;5,6367
03.05.2001;4,77282;4,72251;4,53643;4,44176;4,48138;4,54183;4,60809;4,689;4,77172;4,86162;4,87617;4,93504;5,24101;5,41992;5,59979
04.05.2001;4,76702;4,69832;4,50611;4,39949;4,43989;4,49679;4,56437;4,65228;4,73737;4,82959;4,84645;4,90718;5,22246;5,40306;5,58448
07.05.2001;4,75734;4,68283;4,48439;4,37221;4,41642;4,47949;4,55164;4,64446;4,7314;4,82912;4,84857;4,90824;5,22402;5,40703;5,59088
08.05.2001;4,75444;4,66443;4,4749;4,36693;4,41842;4,48273;4,55681;4,64388;4,7289;4,82522;4,84397;4,9034;5,21906;5,40632;5,59456
09.05.2001;4,7467;4,65765;4,42039;4,30875;4,37427;4,45165;4,53588;4,62365;4,71149;4,81005;4,83251;4,89298;5,21102;5,40215;5,59432
10.05.2001;4,72058;4,61504;4,25625;4,1665;4,26634;4,36412;4,47734;4,58803;4,69066;4,81308;4,84412;4,90597;5,23987;5,44014;5,64145
11.05.2001;4,52393;4,43177;4,26493;4,18706;4,30314;4,40638;4,52567;4,64682;4,76018;4,89232;4,93065;4,99139;5,3352;5,54289;5,75166
14.05.2001;4,53266;4,46379;4,2845;4,23984;4,36813;4,47881;4,5962;4,70982;4,82772;4,96023;4,99874;5,05963;5,3919;5,60127;5,81186
