treatnr,blind,dsr,round,seller_quality_choice,buyer_cf_notpos,auction_price,matching_group_id
1,0,0,8,86,0,151,48
3,0,1,8,83,,233,56
2,1,0,8,100,0,201,68
2,1,0,8,100,0,131,67
3,0,1,8,80,,152,21
3,0,1,8,85,1,251,55
2,1,0,8,0,1,171,66
3,0,1,8,95,0,201,22
1,0,0,8,95,0,203,48
2,1,0,8,95,0,171,67
1,0,0,8,0,1,201,11
2,1,0,8,80,1,201,65
1,0,0,8,80,0,102,13
2,1,0,8,85,,166,31
1,0,0,8,85,0,116,12
2,1,0,8,90,,167,68
3,0,1,9,75,0,106,56
3,0,1,9,0,1,116,57
1,0,0,9,80,,151,13
2,1,0,9,80,1,151,68
3,0,1,9,93,1,231,24
1,0,0,9,0,1,100,12
1,0,0,9,0,1,140,11
2,1,0,9,0,1,100,33
2,1,0,9,100,0,176,32
1,0,0,9,90,0,174,11
3,0,1,9,77,,122,57
2,1,0,9,57,1,168,66
2,1,0,9,85,0,158,31
2,1,0,9,80,0,201,68
3,0,1,9,85,1,301,22
2,1,0,9,100,0,209,32
1,0,0,9,70,1,157,45
1,0,0,9,88,,101,47
2,1,0,9,99,,180,65
3,0,1,9,90,1,266,22
2,1,0,9,80,,177,34
1,0,0,9,56,,156,12
3,0,1,9,100,0,120,23
2,1,0,9,90,0,241,65
3,0,1,9,95,0,121,23
1,0,0,9,91,0,201,14
3,0,1,9,100,0,251,55
2,1,0,9,100,0,131,66
3,0,1,9,75,,121,21
2,1,0,9,90,,112,33
1,0,0,9,90,0,150,46
3,0,1,9,100,,251,58
1,0,0,9,80,0,152,47
1,0,0,9,60,1,159,48
1,0,0,9,50,1,101,13
1,0,0,9,85,0,161,48
3,0,1,9,80,1,127,56
2,1,0,9,95,0,258,34
3,0,1,9,95,0,167,21
1,0,0,9,90,,246,45
2,1,0,9,100,0,161,67
3,0,1,9,85,0,226,58
1,0,0,9,90,1,251,14
3,0,1,9,95,1,253,55
2,1,0,9,95,0,158,67
3,0,1,9,100,0,211,24
2,1,0,9,76,0,112,31
1,0,0,9,95,0,231,46
3,0,1,10,90,0,136,55
3,0,1,10,0,1,241,22
3,0,1,10,100,0,171,57
3,0,1,10,95,1,242,55
2,1,0,10,50,1,104,65
3,0,1,10,98,1,150,22
2,1,0,10,80,1,116,34
1,0,0,10,90,0,127,46
1,0,0,10,100,1,439,11
3,0,1,10,75,1,173,21
1,0,0,10,40,,105,14
3,0,1,10,100,0,300,58
1,0,0,10,100,0,201,46
3,0,1,10,80,1,122,24
2,1,0,10,95,0,215,67
3,0,1,10,50,,100,57
2,1,0,10,100,0,197,32
3,0,1,10,100,0,221,23
2,1,0,10,1,,121,66
2,1,0,10,70,1,106,68
3,0,1,10,100,0,136,23
2,1,0,10,100,0,121,66
2,1,0,10,0,1,231,65
1,0,0,10,50,1,119,45
1,0,0,10,20,1,121,13
1,0,0,10,82,0,122,47
2,1,0,10,97,0,187,34
1,0,0,10,100,0,121,48
2,1,0,10,85,0,141,33
2,1,0,10,80,,116,33
3,0,1,10,100,0,206,21
1,0,0,10,95,0,103,48
3,0,1,10,80,1,135,58
1,0,0,10,0,1,100,12
2,1,0,10,100,0,221,31
1,0,0,10,90,0,201,11
